date_time,temp,rH
197210271200,-20.55555556,
197210271500,-22.77777778,
197210271800,-22.22222222,
197210272100,-17.77777778,
197210280000,-12.22222222,
197210280300,-11.11111111,
197210280600,-12.22222222,
197210280900,-16.11111111,
197210281200,-20,
197210281500,-20,
197210281800,-18.33333333,
197210282100,-6.111111111,
197210290000,-5.555555556,
197210290300,-6.111111111,
197210290600,-7.777777778,
197210290900,-9.444444444,
197210291200,-9.444444444,
197210291500,-10,
197210291800,-10,
197210292100,-7.777777778,
197210300000,-7.222222222,
197210300300,-7.777777778,
197210300600,-8.333333333,
197210300900,-10,
197210301200,-9.444444444,
197210301500,-10,
197210301800,-10.55555556,
197210302100,-10.55555556,
197210310000,-8.888888889,
197210310300,-8.888888889,
197210310600,-9.444444444,
197210310900,-10,
197210311200,-11.11111111,
197210311500,-11.11111111,
197210311800,-10.55555556,
197210312100,-9.444444444,
197211010000,-7.777777778,
197211010300,-6.666666667,
197211010600,-7.777777778,
197211010900,-10,
197211011200,-15,
197211011500,-14.44444444,
197211011800,-13.33333333,
197211012100,-10,
197211020000,-6.666666667,
197211020300,-6.111111111,
197211020600,-6.111111111,
197211020900,-13.88888889,
197211021200,-16.11111111,
197211021500,-11.66666667,
197211021800,-10.55555556,
197211022100,-8.333333333,
197211030000,-6.111111111,
197211030300,-7.777777778,
197211030600,-9.444444444,
197211030900,-10.55555556,
197211031200,-12.77777778,
197211031500,-15,
197211031800,-15.55555556,
197211032100,-11.66666667,
197211040000,-7.777777778,
197211040300,-3.888888889,
197211040600,-6.666666667,
197211040900,-9.444444444,
197211041200,-15,
197211041500,-15,
197211041800,-17.77777778,
197211042100,-12.22222222,
197211050000,-8.888888889,
197211050300,-7.777777778,
197211050600,-9.444444444,
197211050900,-12.77777778,
197211051200,-14.44444444,
197211051500,-14.44444444,
197211051800,-17.22222222,
197211052100,-12.77777778,
197211060000,-8.888888889,
197211060300,-7.777777778,
197211060600,-7.777777778,
197211060900,-10.55555556,
197211061200,-16.11111111,
197211061500,-15,
197211061800,-15.55555556,
197211062100,-11.11111111,
197211070000,-7.777777778,
197211070300,-7.777777778,
197211070600,-7.777777778,
197211070900,-12.77777778,
197211071200,-17.22222222,
197211071500,-18.33333333,
197211071800,-17.22222222,
197211072100,-12.22222222,
197211080000,-9.444444444,
197211080300,-8.333333333,
197211080600,-10,
197211080900,-11.11111111,60.66395271
197211081200,-13.33333333,69.21672736
197211081500,-14.44444444,54.26218688
197211081800,-13.33333333,30.11673114
197211082100,-9.444444444,29.86010182
197211090000,-10,25.53390503
197211090300,-7.777777778,31.90702596
197211090600,-7.777777778,38.67285835
197211090900,-9.444444444,46.1791801
197211091200,-5,29.81307549
197211091500,-8.888888889,40.19810181
197211091800,-4.444444444,34.55349792
197211092100,-4.444444444,27.25097495
197211100000,-2.777777778,40.25587982
197211100300,-1.666666667,20.12257913
197211100600,-2.777777778,38.45945318
197211100900,-5.555555556,47.37723368
197211101200,-8.333333333,46.52453431
197211101500,-7.777777778,46.69629424
197211101800,-9.444444444,29.86010182
197211102100,-6.666666667,27.89800918
197211110000,-3.888888889,33.14204384
197211110300,-1.111111111,17.52237557
197211110600,-3.888888889,47.88155277
197211110900,-5.555555556,47.37723368
197211111200,-8.888888889,58.5009601
197211111500,-11.66666667,60.51636861
197211111800,-7.222222222,53.81877367
197211112100,-4.444444444,57.09777158
197211120000,-5,62.2409454
197211120300,-6.666666667,59.0994309
197211120600,-7.777777778,58.80158503
197211120900,-8.333333333,61.39121674
197211121200,-10,69.95090146
197211121500,-11.11111111,55.23254556
197211121800,-10,34.42695893
197211122100,-8.333333333,48.7528069
197211130000,-5.555555556,37.58129236
197211130300,-4.444444444,39.73254153
197211130600,-7.222222222,58.95085381
197211130900,-8.333333333,56.0217882
197211131200,-10.55555556,55.39179221
197211131500,-12.22222222,63.27400396
197211131800,-12.22222222,41.09177197
197211132100,-8.333333333,44.38783673
197211140000,-5,39.55712778
197211140300,-5,24.57356394
197211140600,-6.111111111,47.20791252
197211140900,-7.222222222,56.33262841
197211141200,-8.333333333,67.21573829
197211141500,-7.777777778,56.1775526
197211141800,-6.111111111,37.40432393
197211142100,-5.555555556,41.25790446
197211150000,-4.444444444,31.4452243
197211150300,-3.888888889,24.90792676
197211150600,-6.666666667,53.97822094
197211150900,-7.777777778,64.38041401
197211151200,-8.333333333,67.21573829
197211151500,-9.444444444,66.95881291
197211151800,-10,66.82932857
197211152100,-8.888888889,61.24717325
197211160000,-6.111111111,47.20791252
197211160300,-5.555555556,62.10103683
197211160600,-6.111111111,51.73257196
197211160900,-8.333333333,51.07607193
197211161200,-8.888888889,73.42042637
197211161500,-9.444444444,80.19701837
197211161800,-8.888888889,76.78258757
197211162100,-7.777777778,67.34318738
